.id,trait,eigen_eQTL_candidate,min_eQTL_LOD,max_eQTL_LOD,chrom,start,end,subject,AGI,At_symbol,At_description,perc_ID,aln_length,mismatch,gap_open,qstart,qend,sstart,send,eval,score
QTL9,UN_MEbrown,Bra002115,2.4668236619308312,4.085199284975017,A10,11432805,11438126,AT5G17910.1,AT5G17910,NA,NA,77.849,1562,198,17,2640,4091,2026,503,0,1314
QTL9,UN_MEbrown,Bra002114,2.4668236619308312,4.085199284975017,A10,11446617,11449308,AT4G08580.1,AT4G08580,NA,NA,84.174,1308,189,2,626,1915,1308,1,0,1433
QTL9,UN_MEbrown,Bra002113,2.4668236619308312,4.085199284975017,A10,11449526,11450360,AT5G17870.1,AT5G17870,PSRP6,plastid-specific ribosomal protein 6 precursor (Psrp-6) - like,84.709,327,41,2,359,685,318,1,1e-99,363
QTL9,UN_MEbrown,Bra002112,2.4668236619308312,4.085199284975017,A10,11454962,11457018,AT5G17860.1,AT5G17860,CAX7,NA,85.813,1734,219,3,114,1841,1,1713,0,2030
QTL9,UN_MEbrown,Bra002110,2.4668236619308312,4.085199284975017,A10,11458910,11461015,AT5G17850.1,AT5G17850,NA,NA,81.091,1687,251,13,119,1744,1680,1,0,1608
QTL9,UN_MEbrown,Bra002109,2.4668236619308312,4.085199284975017,A10,11462842,11464506,AT5G17830.1,AT5G17830,NA,NA,74.571,700,164,5,613,1305,816,124,1.59e-125,450
QTL9,UN_MEbrown,Bra002108,2.4668236619308312,4.085199284975017,A10,11471778,11473917,AT5G17810.1,AT5G17810,WOX12,Encodes a WUSCHEL-related homeobox gene family member with 65 amino acids in its homeodomain. Proteins in this family contain a sequence of eight residues (TLPLFPMH) downstream of the homeodomain called the WUS box.,86.1,777,87,6,119,883,40,807,0,906
QTL9,UN_MEbrown,Bra002107,2.4668236619308312,4.085199284975017,A10,11475494,11477796,AT5G17800.1,AT5G17800,AtMYB56;MYB56,Member of the R2R3 factor gene family.,80.317,1011,124,11,159,1133,972,1,0,944
QTL9,UN_MEbrown,Bra002106,2.4668236619308312,4.085199284975017,A10,11483299,11485867,AT5G17790.1,AT5G17790,VAR3,Encodes a 85.9 kDa protein containing novel repeats and zinc fingers described as protein interaction domains.  VAR3 is a part of a protein complex required for normal chloroplast and palisade cell development.  Mutants display a variegated phenotype due to somatic areas lacking or containing developmentally retarded chloroplasts and greatly reduced numbers of palisade cells.,78.334,2317,296,22,1,2151,1,2277,0,2003
QTL9,UN_MEbrown,Bra002105,2.4668236619308312,4.085199284975017,A10,11486152,11488251,AT5G17780.2,AT5G17780,NA,NA,82.24,1250,189,6,109,1328,11,1257,0,1256
QTL9,UN_MEbrown,Bra002104,2.4668236619308312,4.085199284975017,A10,11488542,11490948,AT5G17770.1,AT5G17770,ATCBR;CBR;CBR1,"Encodes NADH:cytochrome (Cyt) b5 reductase that displayed strict specificity to NADH for the reduction of a recombinant Cyt b5 (AtB5-A), whereas no Cyt b5 reduction was observed when NADPH was used as the electron donor.",89.835,846,86,0,152,997,1,846,0,1139
QTL9,UN_MEbrown,Bra002103,2.4668236619308312,4.085199284975017,A10,11492655,11494584,AT5G17760.1,AT5G17760,NA,NA,85.055,1539,206,4,145,1680,1,1518,0,1743
QTL9,UN_MEbrown,Bra002102,2.4668236619308312,4.085199284975017,A10,11495162,11496741,AT5G17720.1,AT5G17720,NA,NA,84.966,1337,186,4,5,1338,1325,1,0,1501
QTL9,UN_MEbrown,Bra002101,2.4668236619308312,4.085199284975017,A10,11512326,11514479,AT5G17710.2,AT5G17710,EMB1241,NA,86.28,984,108,3,56,1015,1,981,0,1177
QTL9,UN_MEbrown,Bra040634,2.4668236619308312,4.085199284975017,A10,11574604,11576170,AT1G46264.1,AT1G46264,AT-HSFB4;HSFB4;SCZ,"Encodes SCHIZORIZA, a member of Heat Shock Transcription Factor (Hsf) family. Functions as a nuclear factor regulating asymmetry of stem cell divisions.",78.154,1062,145,17,213,1202,1,1047,0,872
QTL9,UN_MEbrown,Bra040636,2.4668236619308312,4.085199284975017,A10,11592624,11594698,AT2G17750.1,AT2G17750,NIP1,Intrinsic thylakoid membrane  protein that fixes RPOTmp on the stromal side of the thylakoid  membrane.,74.329,1192,284,8,83,1269,15,1189,0,755
QTL9,UN_MEbrown,Bra008561,2.4668236619308312,4.085199284975017,A10,11614219,11618389,AT5G17330.1,AT5G17330,GAD;GAD1,Encodes one of two isoforms of glutamate decarboxylase.,90.987,1509,136,0,150,1658,1509,1,0,2109
QTL9,UN_MEbrown,Bra008562,2.4668236619308312,4.085199284975017,A10,11632168,11636969,AT1G34650.1,AT1G34650,HDG10,Encodes a homeobox-leucine zipper family protein belonging to the HD-ZIP IV family.,75.91,2088,456,16,94,2165,67,2123,0,1469
QTL9,UN_MEbrown,Bra008563,2.4668236619308312,4.085199284975017,A10,11640540,11642775,AT5G17300.1,AT5G17300,RVE1,Myb-like transcription factor that regulates hypocotyl growth by  regulating free auxin levels in a time-of-day specific manner.,82.572,1073,139,9,305,1347,83,1137,0,1095
QTL9,UN_MEbrown,Bra008564,2.4668236619308312,4.085199284975017,A10,11643125,11645518,AT5G17290.1,AT5G17290,APG5;ATATG5;ATG5,"Autophagy protein ATG5. Forms a conjugate with ATG12 with an essential role in plant nutrient recycling. Mutants missing ATG5 display early senescence and are hypersensitive to nitrogen or carbon starvation, accompanied by a more rapid loss of organellar and cytoplasmic proteins.",85.968,1012,112,4,16,1006,10,1012,0,1195
QTL9,UN_MEbrown,Bra008565,2.4668236619308312,4.085199284975017,A10,11645744,11646134,AT5G17280.1,AT5G17280,NA,NA,75.077,325,57,4,18,318,379,55,3.08e-58,224
QTL9,UN_MEbrown,Bra008566,2.4668236619308312,4.085199284975017,A10,11646341,11651597,AT5G17270.1,AT5G17270,NA,NA,87.532,2703,322,4,1,2691,2700,1,0,3351
QTL9,UN_MEbrown,Bra008567,2.4668236619308312,4.085199284975017,A10,11657154,11658852,AT5G17260.1,AT5G17260,anac086;NAC086,NA,83.46,659,91,2,1,653,331,977,0,704
QTL9,UN_MEbrown,Bra008568,2.4668236619308312,4.085199284975017,A10,11661895,11666144,AT5G17250.1,AT5G17250,NA,NA,86.335,2049,230,9,1,2006,1,2042,0,2437
QTL9,UN_MEbrown,Bra008569,2.4668236619308312,4.085199284975017,A10,11669919,11672940,AT5G17230.1,AT5G17230,PSY,Encodes phytoene synthase.,87.786,1269,131,4,268,1530,7,1257,0,1593
QTL9,UN_MEbrown,Bra102308,2.4668236619308312,4.085199284975017,A10,11676214,11676680,AT1G64295.1,AT1G64295,NA,NA,77.355,552,119,2,6,557,546,1,2.03e-119,428
QTL9,UN_MEbrown,Bra008570,2.4668236619308312,4.085199284975017,A10,11677574,11678679,AT5G17220.1,AT5G17220,ATGSTF12;GST26;GSTF12;TT19,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002). Mutants display no pigments on leaves and stems.,88.837,645,69,1,97,738,645,1,0,838
QTL9,UN_MEbrown,Bra008571,2.4668236619308312,4.085199284975017,A10,11679060,11680849,AT5G17210.1,AT5G17210,NA,NA,81.918,636,109,3,337,972,630,1,3.33e-177,621
QTL9,UN_MEbrown,Bra008572,2.4668236619308312,4.085199284975017,A10,11682580,11684991,AT5G17200.1,AT5G17200,NA,NA,76.685,1261,255,9,30,1287,3,1227,0,944
QTL9,UN_MEbrown,Bra008573,2.4668236619308312,4.085199284975017,A10,11685502,11685895,AT5G17190.1,AT5G17190,NA,NA,82.952,393,67,0,1,393,393,1,4.59e-113,407
QTL9,UN_MEbrown,Bra008575,2.4668236619308312,4.085199284975017,A10,11686976,11687928,AT5G17170.1,AT5G17170,ENH1,NA,92.263,517,40,0,13,529,807,291,0,753
QTL9,UN_MEbrown,Bra008576,2.4668236619308312,4.085199284975017,A10,11694316,11694625,AT5G17160.1,AT5G17160,NA,NA,78.859,298,42,2,13,307,334,613,2.73e-70,264
QTL9,UN_MEbrown,Bra008577,2.4668236619308312,4.085199284975017,A10,11695926,11696813,AT5G17150.1,AT5G17150,NA,NA,75.276,453,108,2,106,556,145,595,6.21e-83,307
